bootstrap_iteration,0-0,0-15,0-30,0-40,15-0,15-15,15-30,15-40,30-0,30-15,30-30,30-40,40-0,40-15,40-30,40-40,AD-40,40-AD
55,0.6675115931777097,0.49209605968757286,0.2953881469115192,0.1063155327968788,0.7995010049206459,0.6500852639021752,0.4365800588762319,0.1950620042453357,0.9093744377136688,0.8089076281864883,0.632648401826484,0.34898791903352266,0.9733373578830868,0.9340999557717824,0.8411089399120665,0.6318458039742012,0.8400778210116732,0.35014472414700465
56,0.6669096066342309,0.49313607272052684,0.2990248039007844,0.11449451887941535,0.8003147403392201,0.6492196186632624,0.4380434782608696,0.19739478957915832,0.9082390166727516,0.8079123436439445,0.6318543799772469,0.3552568792746938,0.9741123503530134,0.9366129956087316,0.8399804257401517,0.62951450562463,0.8367650867650868,0.3530529406684515
57,0.6636737599873428,0.4858455541117505,0.282329401853412,0.10173160173160173,0.8000984217371436,0.6451532311792139,0.4276930959395414,0.1890937189535269,0.9133151349711859,0.8110750786163522,0.6301243133853714,0.345940291301199,0.9748657139961487,0.935953978906999,0.8433119431811102,0.6317333333333334,0.8415854797811291,0.3524815768445352
58,0.6654951010229928,0.49319477653117527,0.28760365277631994,0.10143884892086331,0.7991611324711639,0.6521022937857761,0.43077814249855184,0.1940149071086884,0.9074588974854932,0.8105516742953505,0.6251878395561207,0.3472433994061472,0.9754247572815534,0.9368913857677903,0.8408755533694048,0.6318902829584416,0.8417604235605559,0.35430521526076303
59,0.6627114963179405,0.48236999625888516,0.2776657824933687,0.09784172661870504,0.7991007633055662,0.6464864864864864,0.4273587350959046,0.1881881881881882,0.9083679739743358,0.806385770520484,0.6255132134389637,0.3412736995624696,0.9749241658240647,0.9360701576004067,0.840685066535239,0.6195199515408496,0.8324614352783367,0.3434185359067988
60,0.6645414898402207,0.488543599257885,0.28855614973262034,0.10228401191658391,0.7975324809594375,0.6439737153585567,0.42933333333333334,0.19783530461950458,0.9087538866299928,0.8056208335331638,0.6199214365881033,0.3494356302786329,0.9754625905068383,0.9382371591629677,0.841002138710663,0.6217818114465642,0.8319448060400937,0.34416645172384147
61,0.6595719730284374,0.4866684991753711,0.27949202350965574,0.09932334461092315,0.7927075360100202,0.6438082012743016,0.4221634221634222,0.19468736335811107,0.9049114964054854,0.8078558314813026,0.6193191441314289,0.34100124766063633,0.971176291484827,0.9340085355755143,0.8381034802497372,0.6203266247535434,0.8317824377457405,0.3426555373892092
62,0.6637782997453763,0.4873253770006476,0.28530199958771385,0.1,0.7996138996138996,0.6511275664759341,0.4302742135087605,0.19347972215998208,0.9058724529662799,0.8055813045811582,0.6249351248486247,0.3470089571337172,0.9732098396574046,0.9352614441677839,0.8364147407870082,0.6224748910365738,0.8380553338653898,0.336799436023969
63,0.6638467426933873,0.4891019644527596,0.2839798001504244,0.10034773969200199,0.7952413793103448,0.646174529454901,0.42872632183174947,0.193398316349136,0.9084639119123964,0.8066040009640877,0.6262194078384392,0.34602021478205935,0.9728994559742091,0.9334690242971632,0.837606310859115,0.624138316503335,0.8371356982724515,0.3473007712082262
64,0.6631713807036562,0.48747905417985476,0.2910572503134141,0.1045673076923077,0.7967354910714286,0.6478428767180169,0.4321488348139565,0.19066666666666668,0.9048369499333252,0.8065497753948703,0.6284781861903126,0.34579439252336447,0.9706666666666667,0.9348266261705898,0.8399064788039131,0.628860530091369,0.8434054987382122,0.3461100901373939
