player,DR+,DR,BLR,serve_LR,return_LR,serve_points_won_rate,return_points_won_rate,serve_points_lost_rate,points,matches,serve_points,return_points,serve_points_won,return_points_won,avg_serve_won_LEV,avg_serve_lost_LEV,avg_return_won_LEV,avg_return_lost_LEV,wta_rank,drplus_rank
Emma Navarro,0.9934461590282853,0.9805473640643593,1.013154688326794,0.7308344465095965,1.2954749301439912,0.5600696459663378,0.43137254901960786,0.4399303540336622,3457.0,30.0,1723.0,1734.0,965.0,748.0,0.14766391504151435,0.20204837873576528,0.19545914960102215,0.15087837290629544,25,42
Katie Boulter,0.9872802814568727,0.9447456886233778,1.0450222672044935,0.7562282003331091,1.333816334075878,0.5537488708220416,0.42159383033419023,0.4462511291779584,2274.0,21.0,1107.0,1167.0,613.0,492.0,0.15241124266519424,0.20154133712292002,0.19938969917050417,0.1494881222223519,53,43
Yulia Putintseva,0.9844066435135892,0.9340766547300625,1.0538820754470857,0.7588204420351115,1.3489437088590597,0.5547498187092096,0.41589779985805536,0.4452501812907904,2788.0,30.0,1379.0,1409.0,765.0,586.0,0.15426773935740926,0.20329939839742894,0.20629951727985452,0.15293411869227902,82,44
Magda Linette,0.9823185908579587,0.9464341204351359,1.0379154445597591,0.7609551675446347,1.3148757215748839,0.5757199602780536,0.40155310621242485,0.4242800397219464,8020.0,69.0,4028.0,3992.0,2319.0,1603.0,0.15347505101263698,0.20168737602223422,0.19830668540180363,0.15081781657986892,46,45
Peyton Stearns,0.9774448601923592,0.9554726139995626,1.0229962071867469,0.7271028896113582,1.3188895247621357,0.5404217926186292,0.43911439114391143,0.4595782073813708,2222.0,15.0,1138.0,1084.0,615.0,476.0,0.14933050133743092,0.20537740046288247,0.198925302311945,0.15082787343225093,61,46
Magdalena Frech,0.9769411126483369,0.9600086567094092,1.0176378158890427,0.7187579063136873,1.3165177254643978,0.5664857530529173,0.41617742987606,0.43351424694708274,3007.0,21.0,1474.0,1533.0,835.0,638.0,0.1487872216552062,0.20700603130516526,0.20010353701526093,0.1519945634949009,43,47
Anastasia Potapova,0.9755750936055217,0.9516996266756573,1.0250871874493246,0.7508132057445431,1.299361169154106,0.5540950455005056,0.4243675787299948,0.4459049544994944,3915.0,33.0,1978.0,1937.0,1096.0,822.0,0.15172452309862397,0.20208025370060786,0.19832252414672463,0.15263079184968573,26,48
Cristina Bucsa,0.9663939133502292,0.9582108626198083,1.0085399269092483,0.7004483085864465,1.3166315452320503,0.5610098176718092,0.4206451612903226,0.43899018232819076,1488.0,13.0,713.0,775.0,400.0,326.0,0.14558939548010427,0.2078517339472399,0.20088169680050322,0.15257244711169268,35,49
Katerina Siniakova,0.9589947019582472,0.9247956380110112,1.0369801311139282,0.7403483756530899,1.3336118865747666,0.5495118549511855,0.4166094715168154,0.4504881450488145,2891.0,30.0,1434.0,1457.0,788.0,607.0,0.1501231105836955,0.2027736070215135,0.19895545093354644,0.14918542113818536,33,50
Dayana Yastremska,0.9525687558147847,0.9209926411774118,1.0342848718063649,0.7428993614664376,1.3256703821462923,0.5437392795883362,0.42021276595744683,0.45626072041166377,2294.0,32.0,1166.0,1128.0,634.0,474.0,0.15065124318237094,0.20278822542665087,0.20125673613003403,0.15181506567582398,48,51
Eva Lys,0.9520247603357895,0.8868538491512089,1.07348551426704,0.7497529583710986,1.3972180701629817,0.5106907894736842,0.4339457567804024,0.4893092105263158,2359.0,18.0,1216.0,1143.0,621.0,496.0,0.15880436928342173,0.211808926540867,0.20630748139624375,0.147655892664041,77,52
Daria Kasatkina,0.9499885285134847,0.9233540757039226,1.0288453297715259,0.7465894606967852,1.3111011988462664,0.515399737876802,0.44745762711864406,0.48460026212319796,6297.0,67.0,3052.0,3245.0,1573.0,1452.0,0.15683320772727066,0.21006619565845416,0.20452023285988816,0.1559911874383613,66,53
Laura Siegemund,0.9386086338193957,0.8882192046087187,1.0567308485892002,0.7648818670762478,1.3485798301021525,0.5273743016759777,0.4197952218430034,0.47262569832402235,1774.0,23.0,895.0,879.0,472.0,369.0,0.15967809948523995,0.20876177924783032,0.2018112006084315,0.14964720374999577,41,54
Maya Joint,0.9377198574589645,0.9063094457854437,1.0346574912350155,0.7511777016469664,1.3181372808230647,0.5379803395889187,0.418732782369146,0.46201966041108133,2208.0,18.0,1119.0,1089.0,602.0,456.0,0.15246608188126795,0.20296939265766833,0.1966057664847593,0.14915424162951807,51,55
