player,EDGE,positive_EDGE,negative_EDGE,points,matches,coverage,eventRate,ace_edge,double_fault_edge,forced_return_error_drawn_edge,unforced_return_error_edge,return_winner_edge,winner_edge,forced_error_drawn_edge,unforced_error_edge,ace_count,double_fault_count,forced_return_error_drawn_count,unforced_return_error_count,return_winner_count,winner_count,forced_error_drawn_count,unforced_error_count,wta_rank,edge_rank
Jessica Pegula,0.023128378391434293,0.05124911326307074,-0.02812073487163644,11103.0,78.0,0.9989192110240476,0.46032603800774563,0.0032288357456981176,-0.0031289511871628217,0.011077456252513778,-0.002506270304172984,0.0024404259002088987,0.016865001328888143,0.017637394035761794,-0.022485513380300637,250.0,178.0,831.0,187.0,142.0,1085.0,1085.0,1353.0,5,13
Liudmila Samsonova,0.0224515647394554,0.060607615993200324,-0.038156051253744924,5745.0,41.0,0.9986074847693647,0.5735422106179286,0.005366544199244236,-0.005605482960391893,0.013808742027464894,-0.002616121936220286,0.0017603679682406358,0.020727935047619866,0.0189440267506307,-0.029934446357132747,215.0,165.0,536.0,101.0,53.0,690.0,603.0,932.0,27,14
Linda Noskova,0.022025533115975167,0.058395531867777434,-0.03636999875180227,6181.0,47.0,0.9954699886749717,0.550719948228442,0.005150394725226297,-0.006378400004613541,0.012882581293271378,-0.003153836635408904,0.0030254149807815195,0.022532624144304056,0.014804516724194186,-0.026837762111779826,222.0,202.0,538.0,131.0,98.0,807.0,507.0,899.0,12,15
Solana Sierra,0.021783870475901974,0.058745214972691376,-0.0369613444967894,1767.0,15.0,0.9966044142614601,0.5472552348613469,0.0023534649354840964,-0.00662725721200832,0.01273170003976662,-0.0010947966111752427,0.0038876178918701163,0.01699455042252261,0.022777881683047934,-0.02923929067360584,29.0,60.0,152.0,13.0,36.0,174.0,223.0,280.0,68,16
Karolina Muchova,0.021716487941794628,0.054405615120119884,-0.032689127178325256,8410.0,60.0,0.9979785969084424,0.5055885850178359,0.003802376795453233,-0.0028080736875304457,0.011087251862811034,-0.003025706207288739,0.00167901024014121,0.02152665119236181,0.016310325029352594,-0.02685534728350607,223.0,121.0,630.0,171.0,74.0,1049.0,760.0,1224.0,10,17
Anna Kalinskaya,0.021302741810535798,0.053221337501468104,-0.031918595690932305,4962.0,36.0,0.9985892785167271,0.49274486094316805,0.002080760142267639,-0.004248015777612588,0.012617199412141756,-0.0023091949914719927,0.0016535956325976493,0.020938073148053564,0.015931709166407494,-0.025361384921847724,72.0,108.0,423.0,77.0,43.0,602.0,438.0,682.0,24,18
Amanda Anisimova,0.020859517819023673,0.06093657404614723,-0.040077056227123556,8849.0,63.0,0.984292010396655,0.5822126793988022,0.003224817671426264,-0.005580144581093026,0.011808367629265975,-0.004574054664581742,0.005218417138201894,0.02238951439729788,0.018295457209955217,-0.029922856981448788,199.0,253.0,706.0,272.0,242.0,1148.0,897.0,1435.0,6,19
Clara Tauson,0.02038802537537413,0.0536917020829445,-0.03330367670757037,5714.0,41.0,0.9982499124956248,0.5073503675183759,0.006424598810520453,-0.0044745584461091175,0.01098259529156627,-0.0029949132410794703,0.0029053378198737076,0.020175913524079898,0.01320325663690417,-0.02583420502038178,256.0,131.0,424.0,115.0,87.0,668.0,418.0,800.0,20,20
Madison Keys,0.020353090545969045,0.057772100427924154,-0.03741900988195511,4004.0,32.0,0.9982517482517482,0.5521978021978022,0.0056227900456187144,-0.004143277126863094,0.011052397071859092,-0.0038279812116826513,0.004050815637622323,0.02081852916933149,0.01622756850349253,-0.029447751543409367,157.0,85.0,299.0,103.0,85.0,483.0,360.0,639.0,19,21
Katie Boulter,0.02016341122263203,0.057138662668891727,-0.03697525144625969,2274.0,18.0,0.9841688654353562,0.5404573438874231,0.0035313750992633725,-0.006952062760063872,0.01125991215588199,-0.0020286067915007873,0.0038599794474614823,0.02094669953361058,0.017540696432674297,-0.027994581894695034,56.0,81.0,173.0,31.0,46.0,276.0,221.0,345.0,71,22
