bootstrap_iteration,valid_players,rank_correlation_with_original,top_10_overlap_count,top_10_overlap_rate,top_20_overlap_count,top_20_overlap_rate
370,59,0.8967270601987144,6,0.6,17,0.85
371,59,0.8874342489772065,7,0.7,15,0.75
372,59,0.9391583869082409,8,0.8,16,0.8
373,59,0.881648158971362,5,0.5,16,0.8
374,59,0.9187609585037991,7,0.7,16,0.8
375,59,0.8909409701928699,8,0.8,16,0.8
376,59,0.8756282875511399,6,0.6,18,0.9
377,59,0.7600818234950323,6,0.6,16,0.8
378,59,0.8936294564582116,6,0.6,17,0.85
379,59,0.8766803039158387,7,0.7,16,0.8
380,59,0.9178258328462888,6,0.6,16,0.8
381,59,0.875219170075979,7,0.7,16,0.8
382,59,0.9077732320280539,7,0.7,18,0.9
383,59,0.8937463471654004,7,0.7,15,0.75
384,59,0.8869082407948569,8,0.8,16,0.8
385,59,0.8903565166569258,6,0.6,16,0.8
386,59,0.8386908240794858,8,0.8,16,0.8
387,59,0.8644652250146114,7,0.7,16,0.8
388,59,0.9101694915254238,8,0.8,19,0.95
389,59,0.9063120981881941,9,0.9,16,0.8
390,59,0.8980128579777908,7,0.7,17,0.85
391,59,0.8720046756282877,8,0.8,16,0.8
392,59,0.8788427819988313,9,0.9,16,0.8
393,59,0.9189947399181768,7,0.7,16,0.8
394,59,0.9018118059614262,8,0.8,15,0.75
395,59,0.9171829339567507,8,0.8,17,0.85
396,59,0.934073641145529,8,0.8,17,0.85
397,59,0.8454120397428406,5,0.5,15,0.75
398,59,0.8957919345412041,7,0.7,16,0.8
399,59,0.8875511396843953,7,0.7,16,0.8
400,59,0.9125073056691995,7,0.7,16,0.8
401,59,0.9017533606078318,6,0.6,17,0.85
402,59,0.8856224430157804,7,0.7,16,0.8
403,59,0.9047340736411457,6,0.6,17,0.85
404,59,0.8112799532437173,8,0.8,15,0.75
405,59,0.8632378725891293,6,0.6,16,0.8
406,59,0.8305084745762713,5,0.5,16,0.8
407,59,0.877907656341321,6,0.6,18,0.9
408,59,0.9036236119228523,7,0.7,18,0.9
409,59,0.8476329631794274,7,0.7,16,0.8
410,59,0.8954997077732321,6,0.6,14,0.7
411,59,0.9165984804208066,6,0.6,17,0.85
412,59,0.8876680303915839,5,0.5,16,0.8
413,59,0.8963179427235535,7,0.7,17,0.85
414,59,0.8434248977206313,7,0.7,15,0.75
415,59,0.8936294564582116,7,0.7,18,0.9
416,59,0.8804792518994741,6,0.6,17,0.85
417,59,0.944243132670953,7,0.7,18,0.9
418,59,0.9219170075978961,7,0.7,17,0.85
419,59,0.9265341905318529,7,0.7,17,0.85
420,59,0.8997077732320281,7,0.7,18,0.9
421,59,0.9056691992986559,5,0.5,15,0.75
422,59,0.8764465225014613,8,0.8,17,0.85
423,59,0.9275862068965518,7,0.7,16,0.8
424,59,0.8773816481589716,7,0.7,16,0.8
425,59,0.7830508474576272,6,0.6,15,0.75
426,59,0.9030976037405027,7,0.7,17,0.85
427,59,0.8921683226183519,8,0.8,15,0.75
428,59,0.9310344827586208,8,0.8,18,0.9
429,59,0.8867913500876683,7,0.7,17,0.85
430,59,0.8426651081239043,6,0.6,16,0.8
431,59,0.9017533606078318,6,0.6,18,0.9
432,59,0.9019286966686151,5,0.5,18,0.9
433,59,0.8537112799532438,8,0.8,14,0.7
434,59,0.8475160724722386,8,0.8,14,0.7
435,59,0.9156049094097022,5,0.5,16,0.8
436,59,0.9407364114552895,8,0.8,18,0.9
437,59,0.9054354178842784,7,0.7,17,0.85
438,59,0.8885447106954998,7,0.7,16,0.8
439,59,0.9147282291057863,6,0.6,19,0.95
440,59,0.906136762127411,7,0.7,17,0.85
441,59,0.9033898305084748,6,0.6,16,0.8
442,59,0.91198129748685,7,0.7,18,0.9
443,59,0.8393921683226185,8,0.8,16,0.8
444,59,0.9160140268848628,7,0.7,16,0.8
445,59,0.9183518410286383,7,0.7,16,0.8
446,59,0.8736411455289306,7,0.7,16,0.8
447,59,0.8832846288720049,4,0.4,17,0.85
